,0
0,0543757051084793
1,0357396942336587
2,4703015447173949
3,5804506385505435
4,3354714475605729
5,9035256271882022
6,2310097484365082
7,3552074553183694
8,8479967495464590
9,2008760316007525
10,9661441560819837
11,0798813351620968
12,4577313463547926
13,4670479552913624
14,0698125032222516
15,3862131524434026
16,2866115540587859
17,9619030543047007
18,1871947440058031
19,1038437165007849
20,8292062616231105
21,4887814471318385
22,3617697065989200
23,4141785292003086
24,5393824704722004
25,0307508005355403
26,9908417714364407
27,5891515058796038
28,3455204481678421
29,8833733577277501
30,6737702893357412
31,2858087349537667
32,6644811083291335
33,7361718851255513
34,3085057149388157
35,4141738725910147
36,2685286492991791
37,7393825867830586
38,3405500163881888
39,7860759306517929
40,3575559872183767
41,1014880910768142
42,5792248901353552
43,7268850205181193
44,0281994445322694
45,1351768327598485
46,0400232298849115
47,0206046924731363
48,1667398084164210
49,6777891253014374
