,0
0,1259500926303809
1,2414704858566970
2,9948850310531923
3,9974551337615485
4,0199310715714042
5,7463702480768930
6,8954116936278371
7,0895615747444576
8,0479739611772285
9,8979781390135332
10,8781151791813974
11,3871635037264920
12,0434393043515628
13,1333051805628540
14,5131787064674647
15,0987355219242506
16,9590623317873900
17,1113531859811863
18,2019448857205643
19,0567809153346429
20,3815338174165832
21,5118629875846648
22,4339551524685855
23,2694197910478313
24,0905246449830648
25,8115411925529441
26,5136155977351408
27,3485765805045929
28,0988858984939965
29,1167412718709181
30,0534906942293338
31,5321036427335727
32,7527179767450432
33,3595605534544460
34,5032990765950518
35,3981389518470916
36,0052252490653096
37,2145228509447157
38,2360257969737352
39,1048662778515772
40,9463091305158969
41,6739544920203518
42,1465526203054126
43,8905353478054504
44,3132451355090021
45,2691336077459602
46,8489743997277206
47,1933541211905495
48,9211345386050612
49,4492074174039321
50,4168957754548160
51,0561802115181270
52,0683719309513445
53,0345205615498048
54,9562680870970641
55,9617425761648334
56,6455990478032543
57,1377108494455149
58,0635728154206559
59,2585985788279780
60,3773908504964104
61,9197210255594409
62,3618441470885782
63,4637203974207161
64,1400494059246572
65,3245709461468665
66,9809924843125163
67,5396967100376451
68,9682463613649812
69,5968162110543751
70,8652560763793265
71,6069135199129029
72,5230444845006546
73,4543897195525368
74,7211565565446890
75,5379077061489077
76,6493669115018157
77,0400432783033740
78,3255967765697007
79,9197019775809808
80,7430102726026121
81,9998364756956271
82,9623287149773684
83,8285043752158198
84,7734537285998313
85,2064008042657628
86,9582592277150479
87,9012848714931009
88,1041565102315246
89,8228812852165567
90,1930793797454956
91,6358314856065806
92,5751999755915979
93,0560039556461253
94,0457632122660653
95,8058052532279136
96,3886842168147059
97,6762004196316452
98,7877747460307517
99,1739441747281321
