,0
0,2238947545394339
1,3345924324711668
2,7007713327410057
3,7183837354797239
4,0588758834590671
5,7046351448775946
6,9380112449444041
7,3834434833238666
8,2938155685114592
9,3021357484136942
10,5238072607952859
11,3259546601542310
12,7570230588831120
13,9276590151526541
14,3972596080388477
15,6114863866102325
16,6429881353148464
17,3931532041328673
18,8637344058859147
19,4855616925791895
20,3405503472010994
21,3761418169454490
22,8868778363145523
23,1868749920342205
24,2424576397841507
25,8901498333813231
26,5182830756789229
27,5095457245652366
28,3100951008080573
29,4652172144789181
30,9858094266525225
31,0421571920582994
32,0331228247415761
33,9465728212459541
34,2509301929350826
35,5512630201287587
36,1943460568130558
37,2513045095177940
38,9484871854546287
39,6979417654874483
40,5133094505256088
41,9858859733008515
42,6486792705300520
43,7530569358334953
44,2685356834735366
45,8909243237236516
46,4082158326480104
47,9561321244059449
48,2606136061740257
49,8157552858330455
50,7826882124566360
51,0425441943533975
52,4462750801249231
53,5928043800446342
54,1869253922319886
55,6437826680217666
56,5422025168210583
57,2682793411821068
58,8895697287739745
59,8176944320967545
60,8671745801940831
61,7435104437355854
62,0541520648901085
63,1129091260167146
64,3110423356650397
65,2815105916715425
66,9786200269739918
67,2768849231719678
68,4132400977039625
69,6860752784485912
70,7735107032972317
71,8671649752936793
72,3886687872358496
73,5200717413563550
74,0055080134892269
75,6272255064060010
76,7401911259032572
77,3707634488541457
78,0302023273138039
79,1413071683140519
80,7470123176068422
81,2846504755307745
82,6368730022418127
83,0230773470450062
84,0569110274864876
85,9476407358926075
86,6725413897416818
87,3497889001562167
88,5124637113777938
89,3893936996168895
90,3868795555292426
91,0848413770343284
92,9720274214573371
93,8970873799528149
94,5705218561961149
95,3622226693741021
96,6775629541151867
97,7549034186694213
98,3908941853662615
99,7445566906318673
