,0
0,0844503110012216
1,8571685859057147
2,9085449180150763
3,8237273913629158
4,7503896254471304
5,3534868879163140
6,8391413167385647
7,3961248159240172
8,5846645200230520
9,9014561138124809
10,2851798514812201
11,3431777523511296
12,9866858833240787
13,0541181400943738
14,5322636314530267
15,0807511237795775
16,2802663347194050
17,7012348447122522
18,0308213196926774
19,1079317599783243
20,0029962971009244
21,6563157522654726
22,2653769170795641
23,8061079976642641
24,6221927841638069
25,2869680994075940
26,7873530684119035
27,4521181963290823
28,5193149437979818
29,9079918147175457
30,0560397297282156
31,9978219072711522
32,7101765508559418
33,8771103629794712
34,2187295071189231
35,8539341671152883
36,3431375174670630
37,0134821761458628
38,4361220072322558
39,1485558694377532
40,4106611304688552
41,3028610543885438
42,5916017746341882
43,6153245473064736
44,3675336131283739
45,5441162940810809
46,8002371435811689
47,2050094723109880
48,3710340061939187
49,5507769922001047
50,6712127307223557
51,1489638551264369
52,2170299963939072
53,2267277822656501
54,3469210787166763
55,2099550660739560
56,2892051287737605
57,4486110803975352
58,1509168353330526
59,3876751682370290
60,9644741302334554
61,6572298923055649
62,2626993746852223
63,7132401562335161
64,1112305218967437
65,9030349458063767
66,5410094021272469
67,5803454603875321
68,8946328562221916
69,4958184722611235
70,4935623950877789
71,9296271539553161
72,2615524841845182
73,5282347749032952
74,9304493875700070
75,2119882299651306
76,1480751214999787
77,4327070396737714
78,1735653164303041
79,6368215522846972
80,9304521461975448
81,2653496390637757
82,1254836315844697
83,7364478567235458
84,2083064025342283
85,4021004695374430
86,7855983777719454
87,1913397914840672
88,5453327164161334
89,0535189644439634
90,8650749833791970
91,5764983862728793
92,8953264121918845
93,7767819982815154
94,2778224426297839
95,8647922327100953
96,7813449483693890
97,0484066011464161
98,3595069999049968
99,3312676963198486
