,0
0,5311988151276971
1,3043897632138906
2,6923302540858368
3,5373038582397407
4,7922457689842629
5,4638821830426397
6,5306520242222948
7,5294022182296042
8,6762742002660251
9,9256851494366703
10,6353527276133849
11,7962302622822825
12,7307577422387099
13,9443577740453273
14,6870324305782229
15,4213808458053599
16,1497433265390194
17,8897713171950671
18,2019624495480547
19,2316472151055499
20,3626519258208111
21,1934019865788119
22,6260226537155026
23,8809787145146228
24,1846557273818913
25,9004968476181175
26,3601505933558375
27,1225895689761854
28,0395636448599186
29,6249814039461102
30,9979596352166630
31,0668463334298785
32,0506346607081493
33,6223423587997333
34,7196393031415796
35,1858791443785765
36,2944428818449047
37,9318861981780027
38,3821297511662902
39,4682380099012723
40,3481593940960227
41,2612915149105321
42,6777891253014374
43,9821188073024074
44,2882439742195871
45,5416767068643649
46,5536791440834175
47,5479882786360858
48,2247991541439424
49,8360909218928418
50,4319075758352865
51,5581414958714905
52,9212256013670303
53,2778224426297839
54,7791314287717914
55,8122711583232739
56,7359896733836304
57,8081498917287880
58,7503966959682579
59,4223859537570442
60,3618441470885782
61,9149815042717233
62,3565691944466675
63,3916542418374036
64,1012217731137451
65,1980541978397999
66,5554105445685933
67,5505277659734432
68,7860759306517929
69,2546845381232555
70,3865613954489625
71,3509643250919547
72,6853282947752662
73,0543757051084793
74,5345279954551868
75,6935433850568144
76,4577313463547926
77,6221927841638069
78,7937368027614414
79,2218631591820466
80,5265671173595770
81,5174466549126882
82,5403765777051256
83,7925870606416937
84,6959183203370190
85,5363949257736410
86,7263490918934874
87,1672008572442721
88,5314056414907898
89,4958858509203608
90,1117432571971568
91,2585985788279780
92,6704904748735082
93,1667398084164210
94,1077711232112285
95,6825512654223870
96,5239770862862966
97,7707037701632549
98,9644741302334554
99,2333794966860226
