,0
0,2400945731751220
1,3773908504964104
2,8494271331675279
3,2149717104656348
4,0005791997581423
5,4009508060687531
6,8683914780987242
7,3794477872946546
8,4632325487404310
9,8701684021412615
10,2621594660936768
11,4515182387382674
12,6526879468718964
13,3183635792396746
14,6983758247542086
15,3988331743668197
16,8217524313663232
17,2397252405405950
18,5221721562923847
19,9103355732367822
20,2849026963494545
21,1465526203054126
22,1406465696921638
23,5522072399581578
24,2601223738643043
25,6392305131339969
26,1099152007574921
27,3657759682534978
28,5481837075109866
29,5112000100248158
30,0560397297282156
31,9116864917971678
32,0323845315267858
33,3455204481678421
34,1459858386214202
35,3213373319012334
36,4652172144789181
37,3897283209013869
38,8867836268820998
39,8699171075880935
40,7958786029463633
41,0425151719064564
42,8176944320967545
43,5065798908075184
44,2675160937325484
45,3897627554738983
46,9995669625550028
47,0626509177712805
48,2978847453165582
49,5673229011742456
50,4808814043079266
51,4303587017025599
52,9672130191987782
53,2252217414293705
54,0987355219242506
55,9933618022571181
56,0613930893164832
57,2765185142133152
58,5767899024347177
59,4422797300106230
60,4909755821591847
61,7441669258580942
62,4547232356365470
63,2802663347194050
64,2864489503546804
65,1351748125964309
66,0128415670124607
67,1489638551264369
68,6754370858970456
69,0488653952117827
70,5674098794412714
71,9304521461975448
72,1157828219684606
73,6367310116739027
74,1041565102315246
75,9796270259559427
76,2064008042657628
77,7085674308155467
78,7873530684119035
79,2400983698111640
80,3564652725974759
81,2080181874776410
82,1395635597581964
83,9969803499258672
84,2554328805208750
85,1229329519982110
86,6069135199129029
87,3869834050601414
88,4299344810509965
89,6133512943741265
90,3734692797952740
91,1413071683140519
92,7435104437355854
93,4173759561785422
94,0932900035896817
95,8781151791813974
96,7278957200601514
97,5856832655059418
98,5536791440834175
99,5065798908075184
