,0
0,6652387343920028
1,2574445537433398
2,3566465649283245
3,9400915429521069
4,6785547194105600
5,6430129533142328
6,3776300004312848
7,9800155373924394
8,6475578211223027
9,2129326437841299
10,6938362260541348
11,0205484470667278
12,0010848295031388
13,6012995320631706
14,2599879538822377
15,5874218092323774
16,8370334857007434
17,9359704557693024
18,2882351954633616
19,1992108703603111
20,0233820096700167
21,3607137600981861
22,7853326207783649
23,9345199069009567
24,2323085679807602
25,2733698712067098
26,0103007276004318
27,9378190351379861
28,2028714603825846
29,7403858236965011
30,2543711366286192
31,0875527722518904
32,4348678014838725
33,8285693170429747
34,1225408485576678
35,7248774319455970
36,2205151409139871
37,6211296580220624
38,9613045444888266
39,6752825379349219
40,3133602789077723
41,1731194927960322
42,5076790300436750
43,1898710476426863
44,4479466669199488
45,0806186398030280
46,0754786947169577
47,1325667605623244
48,8091118564093203
49,6084075762445448
50,6920140377260878
51,3105492463780578
52,2237448778462839
53,6350941947291905
54,0022988322449627
55,6644977757704980
56,2532268388216019
57,3286329883412205
58,1424775784461059
59,6004407980129154
60,9864970132351529
61,2010218091796103
62,3608337314955861
63,1643200379939208
64,7298261913496737
65,6326450271169741
66,5220518797580348
67,1212612218707017
68,0157452280626031
69,0633665122312619
70,6653435398940498
71,0822835164420067
72,0870462710093344
73,7558137753298574
74,2115492949957340
75,4615763566978537
76,9203166882319253
77,4127731105834132
78,0347366364982108
79,3194231720402587
80,5621060170321062
81,5110893809183033
82,9390684995004903
83,9692770802439503
84,3340492777093358
85,6348933324505069
86,8315534963507689
87,6644368250823351
88,6673273682816395
89,4106501742366900
90,7199755730477708
91,9641517111540508
92,2635092058300854
93,1701184836568954
94,6048286722308040
95,4929571824508354
96,8434935867197930
97,3238555337515281
98,4315802970239162
99,8715023255304328
