,0
0,0043444586596185
1,5527559734216265
2,8436025963943451
3,9566394557097571
4,9171355539232690
5,7541422056269063
6,6733918853986040
7,1295951077923316
8,3704305950005564
9,7034773971317045
10,4558796258762790
11,2333091200416653
12,7034421658733755
13,0592339091520248
14,8046282601245273
15,1881149609989843
16,9770622597949866
17,4251174810000113
18,9855493448161702
19,4275316675105910
20,5658903073741596
21,5436205577171795
22,4366715224334657
23,5979164021804842
24,3195210233978887
25,4042904726991731
26,4597417616952392
27,4715295596991983
28,3441996126495506
29,3325984959083987
30,1788304737175283
31,0563872406702918
32,9601240392776602
33,2393476657163442
34,6671362440919293
35,5808503261461263
36,4940933921005830
37,1879817973802031
38,0988994019537246
39,6032561957413202
40,3907210235081483
41,4844986337654168
42,7147245917064731
43,0549130828972280
44,8758653660694681
45,4660243356517448
46,7769639637061280
47,9401385573887851
48,7631072455158066
49,2050122023035025
50,5063576712856234
51,5156019622898776
52,9994825674706965
53,7092837515750850
54,3938506452243804
55,4572625669922885
56,0752183574031970
57,0770988075434062
58,6017951215928479
59,9048531014341931
60,3385398186406655
61,5675009830173154
62,5548799845411781
63,3246194343624168
64,9710589741627606
65,1078989729628550
66,2602949498335989
67,0583426620456900
68,4078091816661287
69,8440560814308018
70,1210116869053087
71,8247688677918672
72,3446031341157893
73,6518739448365292
74,6554178549509747
75,4683812161044022
76,5000032662280310
77,2100406454919685
78,4613001301744682
79,4325584779249968
80,6360362248108490
81,7426592963217111
82,6646006538540573
83,3125669481610550
84,9935129797137635
85,0897604346165119
86,9100012030618652
87,1180465052181572
88,4576414337840820
89,3989136572460030
90,9284998295588057
91,8583392747509231
92,4616080650279561
93,7741837525717606
94,8810094509548250
95,4577368078511565
96,8624647938935556
97,7225675813566195
98,7043118782881855
99,6617183095074852
