,0
0,7476904353230115
1,2302301471457270
2,4648711010185688
3,0278717765065500
4,1068643513710663
5,8497878967418484
6,7826232118891914
7,5699099425805843
8,8190168751489630
9,9019341539335784
10,5790468753558277
11,9555963022676364
12,3338497972024287
13,3293354976354711
14,0672444382021221
15,5918287268298812
16,7152160610346996
17,6913799864277174
18,5974113679731654
19,6294677150428030
20,1827042213170077
21,9446350494259486
22,9861339870761985
23,3611116242222719
24,5097340672259476
25,8814217649491828
26,2331014850737529
27,1698381352533184
28,0687970662971808
29,3925054984862919
30,2081306887051760
31,7201015580796331
32,9897275087361486
33,4304671496220923
34,1670809981583072
35,6433828746058651
36,6509594616230305
37,6217898418202518
38,7913281228807266
39,8757053079955280
40,2834522198832797
41,2887698246208141
42,6557925158692257
43,5395952310690023
44,4306437718089895
45,5138233988231457
46,8647270006257055
47,7515925507360029
48,7288300876119109
49,4679555673383230
