,0
0,5275027284030599
1,7756929349089648
2,3111648323926056
3,6604074224038905
4,5351297661579846
5,5887261302613510
6,9292277008640466
7,2708977872316814
8,7481402628291219
9,6949879982808858
10,2370990773271434
11,1038716347038971
12,7697573855724906
13,1599966126072450
14,5193496062654901
15,7450433597868881
16,8570246252609466
17,7469670427706304
18,5434724108176150
19,7377787166073311
20,7660947838427997
21,3813231916661819
22,4868054514004669
23,9870663748100803
24,0438610479238720
25,7906557324178938
26,0903629654371960
27,5136468940817079
28,4795625711251863
29,1097892568771095
30,7213162118172633
31,1141716826787805
32,8106067351019340
33,8085880003164254
34,4923315420050321
35,1063790618901917
36,3804782071634146
37,0280057480652087
38,6286988721312780
39,1998238493819332
