,0
0,9421231847055027
1,2606509423569641
2,1942580852256588
3,5404614017593355
4,7388174968659045
5,2832609451849241
6,3821690425847852
7,2677033874874958
8,4702004904231248
9,6843256597783676
10,5082227179819700
11,0809415933941291
12,1030689569102844
13,3330976062026878
14,4284809342546287
15,5029349885731655
16,7293796905144204
17,6471261027858951
18,6245294851094056
19,3845989485833395
20,6751498934307804
21,5935167197109618
22,2628593693450121
23,1034829852338994
24,8391182235603982
25,3996366017611202
26,5455867834427820
27,4052567669610380
28,9646485680649234
29,3601442415054973
30,5998038395436082
31,3475038418010954
32,2844578870363537
33,2062982268663101
34,3996385621553357
35,4763314549493316
36,2763982530162198
37,3651063470460537
38,2512066286388977
39,7060067415685353
40,1526924684296095
41,4933022274560322
42,9664733721946290
43,5555663009949895
44,8247182921769589
45,3107128880946249
46,0744190581971770
47,8783964270386788
48,0518357370991372
49,6791290388385210
