,0
0,7482438465356926
1,2435447165044085
2,3475038418010954
3,8391627429679768
4,6689457074409698
5,6339561326164124
6,0294676847895948
7,6954875796234519
8,8030262077949409
9,4105665879347957
10,3859775879893716
11,2461255030745891
12,3948737758921845
13,2081545253471652
14,7159513683604358
15,0926138204356872
16,8577652222943813
17,3820562952937690
18,3752182345800587
19,9665695510823023
20,2440790381990226
21,0131201084614247
22,5020466945403853
23,3835786000876089
24,9360088536183208
25,9330989884789830
26,1445259468526188
27,5097340672259476
28,2828994993784363
29,6705125228904432
30,1695449937472051
31,3473903684822728
32,2538824540800669
33,3845636053338133
34,7334066101340578
35,8349031396398015
36,1884100217996439
37,2701382557962687
38,6555250964161973
39,8934962824316146
40,2333091200416653
41,2085793138125077
42,1719199468870466
43,8623798867256227
44,2089394406081512
45,4325584779249968
46,6519520864855646
47,1635123002008397
48,8342070742393479
49,1449605928537533
50,6553779481379743
51,2325513222088331
52,1182565752545891
53,6677797217339969
54,6367176618425888
55,2205151409139871
56,6032561957413202
57,2735325729626014
58,3828820650816481
59,0563872406702918
60,9692770802439503
61,8231221319859774
62,1278004515460973
63,6372649810646310
64,3248653062660478
65,8691314378381640
66,3926768348141273
67,1331182190350647
68,9284998295588057
69,4616080650279561
70,7092837515750850
71,2195090548621158
72,3483667901818921
73,8591926237097756
74,2790035784807996
75,7756929349089648
76,1295951077923316
77,5219582653165363
78,6782273139275680
79,6345440666273561
80,1524800505426143
81,2816161719943433
82,7863845087003953
83,3103088504501213
84,6430129533142328
85,1924505851256944
86,4726949697973381
87,1117896124904968
88,8991172780503312
89,5745792827414580
90,5144329113111242
91,0690104281840410
92,8492570672786593
93,7765730420070015
94,6643474871838788
95,1092165966451117
96,0263742679377591
97,0807993828734491
98,0659408656635728
99,7402359906381953
