,0
0,2472508053117517
1,7630240175041550
2,2846878103351712
3,8655386938955187
4,1206034457151489
5,0635829732588460
6,4985772200782832
7,5551950766960510
8,0928959013242310
9,0819765442982306
10,0326577563802136
11,9920822116918042
12,6789231663019357
13,6539383780616623
14,4358350283448719
15,0122947337651561
16,2269475106602222
17,5328212727742530
18,5823693783449791
19,6772626353399558
20,0960398662960668
21,0161487799376958
22,5051802464779237
23,6051486998967925
24,9138858373933921
25,5105401635003548
26,6508618435773438
27,8625567382775654
28,6502085395622858
29,4314074851986989
