,0
0,2093374695102177
1,4790508103951006
2,3003130522427820
3,4553923987301470
4,2646698407526867
5,8468269699377558
6,2562022438053334
7,7000845749315355
8,1820487447148268
9,2089394406081512
10,3765572633415830
11,5521922960404236
12,8934962824316146
13,4685147284428960
14,2192951085538374
15,5752128941340564
16,6388495537140928
17,2677231663329706
18,1164219671540492
19,7441375272877530
20,4256896716670508
21,0873865581940415
22,1250692781738939
23,9018028705455552
24,8375309081976653
25,8879964582778840
26,5414283625973469
27,2379169013108798
28,3369854228702113
29,9038222820431048
30,7749901045609610
31,9265604313004700
32,3086288257972856
33,6465644730012473
34,9287776078149551
35,1600341825270034
36,1570292449803538
37,2595121603577953
38,1468237540261340
39,1348578795577020
40,5963049225248687
41,0256126734685935
42,3739930848549194
43,7951552043187056
44,3320327570429539
45,1258429277577053
46,6677797217339969
47,0042460478824717
48,3216599549790744
49,3109224399923578
50,8035094698187480
51,2119572720507813
52,7328118654810844
53,8616017152145795
54,8355884296691738
55,0831151849844477
56,8090769371296465
57,9563312407691130
58,8279954644750743
59,4327895435746416
60,1237244904128562
61,1572504650930605
62,2313290767284040
63,6175285839739641
64,3864440795364252
65,4958262500691607
66,7635170597670838
67,7628523192136375
68,6678412027279043
69,0546360463436776
70,4871187664578422
71,2051768895007839
72,0740745836565262
73,1372350061362908
74,5196560719753785
75,2951081353357019
76,6595967944149712
77,3440258752440406
78,7575560032654636
79,6902095526533812
80,6372649810646310
81,9203556881166680
82,8791056897839415
83,9558308121632441
84,5725634441963180
85,8502253983979576
86,7642582536105996
87,0247448637517208
88,0311109427821243
89,6302335455946656
90,8478680848389944
91,9803419937796467
92,3831776510166569
93,1331182190350647
94,2829002492109958
95,2716804135366844
96,0935409654079900
97,4941009238623926
98,4411441162862608
99,6350828582662027
