,0
0,4577337828511155
1,0299116892743368
2,7525108577501517
3,0127419824935492
4,3459331011913021
5,6703037457253125
6,4932807066650389
7,7718135476848489
8,2295426092712681
9,5931969496718980
10,1011936727324620
11,6012129579229029
12,1762041788112837
13,6842814109890383
14,3614256141054800
15,7644241125976321
16,0339970047422716
17,0104272542847732
18,9597756345795906
19,7535636807201892
20,9893470314100775
21,5557656124686682
22,3592409622660802
23,0461451015026948
24,7351499832051791
25,0265690889456064
26,3266145095735910
27,1226581980701642
28,1977014753474964
29,1519648219507868
30,5425946423248431
31,0701568383219812
32,9398953839662428
33,0098564066936024
34,3933100104810939
35,2518547102494583
36,8225925748884367
37,6597845927084787
38,5140929223623600
39,2919675702905231
40,8590499566979006
41,9620060759784508
42,3008972872111623
43,7119886675051877
44,9234456003563666
45,9833601447849479
46,3546896195915568
47,2572374847595620
48,0130170792157449
49,8537174715205717
50,2450820364900526
51,4321118621178584
52,7892919789980668
53,8321217605166123
54,2656352708538987
55,9099587982889283
56,3111763074539772
57,4640148190073166
58,0159648961678651
59,7882538227876962
60,6212096965472629
61,3105926042910211
62,5532816581852742
63,8511641760287071
64,0648137436207537
65,6555771530199324
66,4822268815531191
67,2008175629095105
68,8948736724490274
69,2161593951236436
70,6832023291977489
71,1252443045127710
72,9258600363992264
73,2569898005322201
74,5055126579468463
75,6199153570472953
76,3390376884463035
77,8314912075944522
78,6496725278150381
79,1079110450785932
