,0
0,5800409590209195
1,3978561494920029
2,5050313480683695
3,9033731162226946
4,3807372927577092
5,1329532290735502
6,8664062189071507
7,4335387854670599
8,8710490356999657
9,5777378401339570
10,8668472375424523
11,8833023745052659
12,5643733676068848
13,1990172299353318
14,1679725851734904
15,6445492335035108
16,4183156846789316
17,6885659314359356
18,8526960535874806
19,7513273791082090
20,3409388796171608
21,0780417870726951
22,9142253802157221
23,1365069692823435
24,0268414770907216
25,1752740726405873
26,0614350233628814
27,8195743233435647
28,9678554788147566
29,4564712877039359
30,5946557673998724
31,5484986495253646
32,1049547759186556
33,9220261246545648
34,0717712408603945
35,0209794264314643
36,9221592908532393
37,0755434903205461
38,5035858383519296
39,7993522648152946
