,0
0,6332981346537949
1,2589872959709848
2,4618772929333729
3,7060585515102803
4,4672766298301524
5,6823993478179598
6,4851715640991871
7,0894500699921156
8,9465127865782783
9,4852986852697885
10,8342306603661310
11,5625112455084806
12,8898319491890063
13,5170293352882261
14,4937289004615851
15,7230143861324699
16,3740681990984284
17,8074447921818504
18,5760185568410598
19,1656881663114095
20,0204571709680830
21,5153238052428213
22,9104907557893841
23,5300435085221378
24,1303667412079447
25,8343402717114526
26,5157402662010182
27,7068306588404418
28,0060120644445370
29,5464297116879647
30,9400218205896772
31,3783221192461173
32,7468001180773462
33,4830845230549223
34,4074004628758766
35,8409575009099582
36,7097392227205579
37,2132619904602832
38,2134397589741043
39,0502286797632911
40,9188259720814972
41,3535420886883559
42,8787784443554068
43,2041807074893443
44,5386506672533706
45,5127807822690331
46,9178927522709552
47,9391830500474290
48,8522863394780322
49,1682321828751710
