,0
0,1968912102415212
1,2684900317624442
2,1372738121180882
3,1600286489835864
4,9314744999783676
5,5313151680070633
6,0593390264742095
7,2410552655833597
8,4408095517346846
9,3345116100947099
10,2451904384119263
11,3180659616699939
12,4057799848801141
13,8985049122862408
14,0862215016729506
15,6434813168388201
16,6195313452069297
17,1016153148024105
18,2741458816539568
19,5869970809916591
20,2916731657247222
21,0447073555893530
22,6836392358779448
23,3813286040288098
24,8121597716657676
25,4524723055652545
26,5025257747246251
27,7540759423089612
28,7484089259365594
29,1116186565279512
30,8572311134832725
31,5471284872073952
32,5722353488752184
33,5900778605189135
34,7005173484637605
35,7113805002813380
36,9812601801979283
37,5527843821495191
38,3869863702767857
39,8145524739608644
40,8224423911513997
41,2235218288589782
42,9079608448928851
43,6826318576830467
44,7385110672248802
45,8389692203753236
46,3986790532175292
47,9000821414382499
48,8040936966256967
49,3118777754475239
50,6536519955416085
51,7725527284717963
52,7098980188917700
53,0411920276076528
54,2907189124654066
55,4549171741917116
56,9165601469436240
57,6689800200326503
58,7995036285650904
59,5760321528133668
60,1838276397621049
61,8137271342793052
62,8950586647715771
63,6703453792017497
64,1812805997541734
65,6497640209304512
66,5297745838613310
67,1427377100514783
68,2835864951583089
69,3558212767652511
70,9121318493413081
71,5908535074923095
72,4267972903390964
73,5320812023944256
74,6275585300349034
75,7247506153556039
76,9586370984131426
77,3172784582436163
78,4296821710899356
79,1914725582505972
80,0404099413276302
81,7803405172044612
82,5843464065448139
83,1331279630816662
84,2302658488477730
85,2684624104316784
86,3677327042198821
87,0660220375912678
88,8471116829733774
89,8183271955953866
