,0
0,2534049526509532
1,6697012971744731
2,3246970344543284
3,5598000938584486
4,1345069009459056
5,5720830441720067
6,2859135226816622
7,5684058125095235
8,1740478426977844
9,0504456375208670
10,1697547325096457
11,7181472061444803
12,4752632781155101
13,0118224405460667
14,1621284100545324
15,9382598329890180
16,7734628421136741
17,8818553412132557
18,3076133800663619
19,2999127173845463
20,5234437367053668
21,3128835556092119
22,4438747643373395
23,4038914959688015
24,8755682183778618
25,0277415539607307
26,5894529481339325
27,0776980035751855
28,0190128964748843
29,1388111488949476
30,2545518618024469
31,5517850224634709
32,7185324846597616
33,2985163605469859
34,4027745540748351
35,8069710057502479
36,5788713244924150
37,7966825011414341
38,4849994635754652
39,7135205469875532
40,7943108749679220
41,7576748068658968
42,8661158871949759
43,2989187744798836
44,1777617814611210
45,3751287338655685
46,7251618193690338
47,4907455690392249
48,6882672148403531
49,4048332757094949
50,8292119356665674
51,0449061925754213
52,5484881117429853
53,6034625575894077
54,4588973096462209
55,2648418637492156
56,5641165392004404
57,1467998893115728
58,0796700383761856
59,2566960557953714
60,9791486511562981
61,1311612572712450
62,6280001726178765
63,2971347311613974
64,9993549523664329
65,5787834301134358
66,8858800699425352
67,1393227099374469
68,0956965042711324
69,5743408042753244
70,4402316627213672
71,7538556085505819
72,7811492311173264
73,9804707674172774
74,3572598256848635
75,6153118698054571
76,7082465592838517
77,9919135586409472
78,7303367659577264
79,9801061258149563
80,1456763984547504
81,3427885672312583
82,4979293133856180
83,1059580907386382
84,3211921907360668
85,7599253575479186
86,7231331062174024
87,0992559318175235
88,3983527783636073
89,9182997345456363
90,3830422995776137
91,8174173696509765
92,5773989861369461
93,8032947427576549
94,8795198390972971
95,0053554769698449
96,6186135872782431
97,7084680316104510
98,3389105078664804
99,4628431262205595
