,0
0,7941154223198901
1,1455726768450040
2,7294582289403049
3,2767302960259514
4,6579798139952341
5,7330288730144585
6,6665155835167558
7,8018380754808912
8,8576651105662118
9,6409332830031336
10,0480944334194184
11,2354739980406725
12,4424075292014459
13,3814399624794416
14,0373269482136987
15,3138101153535395
16,0018992452321910
17,0447033489897257
18,0695770301548519
19,0186857706444299
20,9028304261745922
21,5866881378328643
22,2939620990280199
23,3131518471129590
24,7977489515345196
25,8456206846769267
26,8772499507689911
27,2179010532675075
28,1521273831217229
29,2900995280822495
30,6920428131714639
31,5011624798550816
32,1723722364556016
33,0327817672623352
34,1402209642648415
35,9130038433176378
36,4160558780902988
37,4966637393567862
38,0941443578569780
39,9458496222461501
40,5233903835373558
41,8773201078957745
42,2756113489132080
43,7416129894680689
44,8237309027062014
45,7649391782228457
46,1353592697826668
47,6327774615748812
48,8539725380344782
49,2092610956805007
50,8158732509142272
51,6998825853556843
52,0114396476914548
53,4133188504518834
54,7632867790178003
55,1637874338382368
56,1742135960263892
57,8001069292975491
58,2813393825587000
59,5599396027783335
60,3317479462307817
61,0301969796002253
62,3722484930445197
63,5051115183969507
64,3265471567908195
65,9181245778205654
66,7061679675350682
67,2870655742911951
68,1226621982374175
69,1541223007968886
70,9985414046962478
71,5979862734558983
72,2417670884230444
73,0164951587932833
74,1932645540447860
75,4604158801743638
76,8743558276498679
77,0920058820470751
78,7875318298740429
79,2970638115754262
80,7327075085295767
81,8493451075016458
82,9770620834891213
83,2858608341497072
84,8471869055654497
85,6024166107521748
86,1592443578418038
87,2022411826577786
88,8711715937181535
89,8640478018562885
90,9221903025439098
91,5389042578042654
92,4715907893403600
93,1280123047954585
94,6783064368837751
95,8469011549621156
96,4610098557429398
97,1808250344274013
98,1608472474770322
99,7927613573357678
