,0
0,1549684866735323
1,2555718979759308
2,0930308397178534
3,3250752369062840
4,4404268513358203
5,1290427033107137
6,7155568250048145
7,0725459534795685
8,6613933581513594
9,4493063220359178
10,1859358120408738
11,9562316044920852
12,4486030422416831
13,9208019490262747
14,3312992120803629
15,2879707811631626
16,8948015493681619
17,9151138206391021
18,5824376445029799
19,6473783273255196
20,4826647905254039
21,6689529661601171
22,4758550783703417
23,4642643167326569
24,3037424499721034
25,3263805844970643
26,0416440515458304
27,9853084384672692
28,9214402096677694
29,2743333637444155
30,6258017115664765
31,1000622852662099
32,4775923423505257
33,4667459802757846
34,8632504024617088
35,2818603108372922
36,8402643293660386
37,1869325459006000
38,8104904120076956
39,6738987664840341
40,7778828466828647
41,2524895991103903
42,5570172701557172
43,2142424336909827
44,2749773427704993
45,5632602851077460
46,8807863760286159
47,6051379283864910
48,1033658951252242
49,3430633698914755
50,6749110764950276
51,9640089497766267
52,9794200625634191
53,2839547928353699
54,8073141296773246
55,3163503973303585
56,0841002755454243
57,5727931029137352
58,1646871409805700
59,6047408996026135
60,5014603660790632
61,0442315483134442
62,4364360095121718
63,7385210507816401
64,9698118041442887
65,8865368585732583
66,2462633063143454
67,6091313494440400
68,5905038634421725
69,9985104818555037
70,6234417208299902
71,5669300635333699
72,2041676980432035
73,5215976260958847
74,1465127043013658
75,3501144610898659
76,1112112146102164
77,6291962434969372
78,8434742421582572
79,3790088995387532
80,3626639720691828
81,4067206563384738
82,7757984300428347
83,0066571413356993
84,6033516785481779
85,5209245987326574
86,5703134477270057
87,3121706503131205
88,2604911000898464
89,8562677684241404
90,7900356071046936
91,9962424591141586
92,6908341698896083
93,5399317473703342
94,7887442300538430
95,1660511410951811
96,5506304240801811
97,6179016690639117
98,1842905075999080
99,6110083818222190
