,0
0,6393567108244426
1,3183029315983412
2,0010160208417370
3,2191777755990317
4,3698586914848674
5,0975018553829295
6,5609472501010800
7,9217078285046946
8,8366112479020867
9,6593791618258903
10,6330786781745018
11,2473628350274931
12,6236326108324745
13,9945289519054859
14,9739603954121791
15,1785660993979014
16,9031045464982359
17,1163781303680223
18,9729493483105088
19,2447818881485493
20,7893562075157658
21,8712158323183215
22,8905680531252110
23,2730012969211616
24,3493623923701389
25,8813317661046448
26,1950389918593440
27,6330766834005870
28,1095304607841635
29,3923697331385475
30,1903318761761241
31,3431795837830476
32,1721981607189967
33,6002223847173090
34,2920848355110000
35,5646717030559668
36,8682731651565597
37,5687541848261232
38,7069953370349465
39,0764162939581973
40,5764635299335289
41,0499138914431785
42,0227991715057814
43,8674610062329213
44,3345663851115807
45,5525143805509107
46,7227781646829609
47,9189359969730039
48,8184042170674060
49,1603069013244489
50,4301721255586074
51,3711345228200246
52,3753627053150603
53,6001666491322260
54,9211719990597519
55,9070622477803629
56,1807193235853557
57,1484199554917911
58,9888662772740183
59,4422237568128846
60,5699746686380656
61,8396001861092302
62,8328275787978920
63,3211660196134627
64,0681322721384641
65,4741334327686233
66,1736002473041028
67,7810700788181646
68,3458947518634904
69,4336860594052324
70,1694092671948217
71,6462378052011496
72,0414048099090181
73,7384168674539702
74,8735458741337698
75,5302472310971255
76,4020318906151163
77,8855271776749181
78,3402472266587390
79,0781721524175361
80,6266619466834133
81,1118391491224309
82,2063932952182790
83,3771504266695007
84,7574664467082178
85,2574306056841630
86,8108799877914998
87,5090422413643403
88,5251389003736909
89,5966080566066490
