,0
0,8274665115727809
1,5333709865535244
2,2537089193030608
3,3975562330805190
4,3290027572731981
5,9415574482132654
6,6829111589524333
7,1273134370963830
8,2427825596072142
9,6638198140980807
10,8375441896375273
11,7663463280386141
12,8974044978238265
13,0395823528382046
14,2416217745367478
15,3647856861002877
16,4429914145998438
17,1921913931129171
18,1590971576309420
19,4991058118655491
20,9084292828513038
21,5658293228855712
22,4574679474660607
23,3630980140600543
24,3276992457275464
25,4926594438458702
26,8282785379876019
27,5104380991908142
28,1261276321930821
29,9895759592826453
30,9356882101653526
31,3166371422900794
32,8541586871435816
33,8251036338971024
34,9255434835123749
35,0319425297974158
36,5168545718455899
37,9012667997804219
38,5888969497931011
39,8149650593877042
40,8863593649257876
41,5512659010248787
42,8594637607405428
43,8646138560231908
44,9268347207438461
45,6138452105535705
46,7731215198101947
47,3376750892363066
48,2844974351441051
49,3801865783333828
50,0408226658529368
51,2993790524055307
52,7435776391011024
53,7734716272173098
54,8352484392271532
55,2264959269079954
56,1863589790139155
57,6847063606394701
58,5043529802979821
59,5242718140293648
60,9418967460521170
61,2212648941159028
62,3053794724319601
63,8841367325340262
64,4340315896207802
65,6937785704125194
66,7085425285258517
67,9221494854759414
68,0575590472541198
69,7463829190927034
70,4100390278762838
71,6446649203260844
72,1705430650855494
73,5986826931551383
74,9984003963306826
75,9490725972865670
76,5170756020561542
77,9828693113292175
78,4410624593278229
79,8515369021255534
80,7230106202961229
81,1141660061525473
82,9709258164498165
83,8002400150496526
84,8755810383117085
85,0695726111315933
86,1455327138239823
87,0382304490753424
88,1101949023118413
89,3698999001620631
90,2761396544058606
91,0786281388331891
92,4631598241372861
93,7451110632352114
94,2004036741276220
95,7277684979819031
96,7435457545190771
97,3448342105966223
98,3740639726545315
99,4318921660581255
