,0
0,3495241443602221
1,0426390460269258
2,4142292585628714
3,4959152343828058
4,5587612692274561
5,3031724708203617
6,0229801641242896
7,2931270888717344
8,4589576265840182
9,8820947788769236
10,0415198949492913
11,3426796078386126
12,3255060531838427
13,2502060350876295
14,4721672637528871
15,8711554697403606
16,9553552120828724
17,5432887699457540
18,0923973089321965
19,5602634309535528
20,2112666591296772
21,3882320619443256
22,0031049365155055
23,2823197546147775
24,3226110093009785
25,3061667720023102
26,1257320066520278
27,5114110813711387
28,1690221450242725
29,1361400129993392
30,6549490172548343
31,8238963826956128
32,8298538465228015
33,7563241826313933
34,6143686606122269
35,2825133116316989
36,2440863332849994
37,0786369074656265
38,4692086634018379
39,2815042545405597
40,1426374030951610
41,4066413997908572
42,5737213839553155
43,3955709227280586
44,7628661503131340
45,9484795741977766
46,2330509846581060
47,6762905361803183
48,4738829911864396
49,1503203554671446
50,8828875564145245
51,2441925791593067
52,4069783809696117
53,1688457940211697
54,5177324451229879
55,2861685938046060
56,5105526685615401
57,7371151451215513
58,7639821581156994
59,5743396874581053
60,3487546022829633
61,7931982019068625
62,0761476745619922
63,0813723097375085
64,5185924584647909
65,1717873414604610
66,5432651695056904
67,2582175054709315
68,7046333198408985
69,9584107783216465
70,4524868466523562
71,9185526292584026
72,4436012961948689
73,3236946022189344
74,2567582971674205
75,0799661863186569
76,4415942513049380
77,5936730831586107
78,7888258901938956
79,2892611661211789
80,8978430252253325
81,6890753478430059
82,4173099577699185
83,9755377874560173
84,0756222220965101
85,1370027458960260
86,7623097319729313
87,3968129915385876
88,6926188473133379
89,7937550774712059
90,8438434758397818
91,0318784090306391
92,5845875567733896
93,3499704308301708
94,0611934018423943
95,5152789196290910
96,2925436755759308
97,9856462321321129
98,2302116915931540
99,1379541222918147
