,0
0,8544491643812450
1,5980170934785365
2,7271092616184477
3,0938805013383423
4,3129308742912649
5,4265523459861860
6,5356463834482311
7,0719465062354576
8,5159891739318203
9,6999749984515755
10,9663699374798550
11,0539303957929668
12,4868680076470040
13,8043136069525312
14,5713789523733634
15,2794888963106382
16,4204048575326745
17,1873338237971936
18,3749494329725967
19,8775575994924463
20,0654272159213814
21,9530550790953653
22,3935366222752874
23,2646626586269060
24,0218004426204544
25,9657107748475154
26,2382723098584720
27,8501750285709463
28,0437999126739133
29,0592949496367500
30,5005536921435787
31,5422276244335274
32,0388600397612432
33,1316412551645220
34,4953372732452626
35,8401671962644482
36,3919711591553904
37,3537062520522134
38,1912911113942497
39,1537768249023926
40,1414984410442703
41,4370780178813575
42,6053858102044507
43,1350545892962962
44,4505138524062254
45,2951961722680149
46,4362051219348099
47,5545617046802074
48,3838168421313638
49,6015137404238990
50,4754944655427183
51,4148145822928884
52,8378753616240875
53,7184462150034623
54,8154218244924846
55,9226065950792831
56,8423282472108016
57,3283762683761655
58,5486280310533660
59,3122260822717094
60,6996978543675989
61,1217083860799906
62,4073076139407519
63,6231332327305996
64,6144473413005286
65,2538174210879274
66,9229050147852679
67,7936305470585824
68,5191541542901913
69,7948388584717287
70,7175631659428994
71,2968694597677203
72,8875361042998659
73,4470314114687099
74,4723569507970497
75,8373564643000623
76,6365583099743769
77,9499429606822923
78,6083354919054179
79,3029233088896180
80,4091433441104332
81,0961099296657502
82,4603441030626959
83,3417087218156306
84,9305518977446202
85,2922413229771342
86,7128957396117154
87,8352652260448205
88,6438192909491452
89,1704285823923729
90,9670001528699130
91,1378424896505459
92,2714257711512999
93,2002515486942024
94,6864414617295032
95,5936453117958596
96,0887502044987077
97,1050709055776428
98,0527652166877006
99,4152545470767003
