,0
0,3969822266365618
1,9508969101649184
2,5763347472201564
3,7216344229807186
4,8548248785268227
5,5418297150342702
6,6614065171029518
7,6289602045034353
8,2974805638656106
9,0973550817356564
10,5704842232274071
11,7181616799746888
12,2076578650189538
13,9700302420274549
14,5587901760491970
15,0798581687684229
16,3197093513022771
17,9398848717949756
18,2941335797138677
19,1282356994348871
20,5801652590531684
21,6993332509092075
22,0252438295481654
23,4705542326530879
24,4290893631616486
25,3842707559113340
26,0763360754118102
27,8863163152848405
28,2542635974722990
29,9343854177039951
30,1721691084829002
31,6249003853117061
32,3527197809276361
33,7605697769121022
34,1091109705617885
35,0071340809284453
36,4735276653354808
37,9054250993836740
38,9222197864054553
39,5704289678296630
40,1329109472641366
41,6829166075411185
42,7375846049129667
43,5406427546690123
44,7898069293489622
45,4860165003262229
46,8414328955232709
47,3841865014315126
48,1639498384851302
49,5248947128030959
50,2316290883662071
51,1505400360366643
52,7049037571438664
53,2407291933840297
54,5413340067157725
55,3174288202051647
56,3831923954689523
57,2059965853174509
58,3942578011658070
59,1239178396679623
60,2638620558390111
61,8178867411563243
62,5548804788102914
63,4599430131495746
64,3557992461593136
65,5279465385771687
66,7824421952837925
67,6008632392584482
68,3089430786971948
69,7921830556715768
70,5619349102212209
71,6792025643983370
72,1756505387785131
73,8727569764187182
74,9567732690904131
75,4400010660858457
76,1240066145518940
77,4527387699298544
78,4482175736711280
79,5839043594908917
80,9708691924523324
81,2153321168945169
82,3909162572623711
83,3744737176516322
84,6225924782510184
85,1020477751003832
86,2129963760543898
87,6289054627154841
88,4824419385318370
89,1619822351741819
90,8586805521593519
91,5866981114947883
92,8886634592087842
93,8160347007286967
94,0856630824759511
95,0527685382924520
96,7046490024884075
97,2392406298045396
98,9450876365827439
99,0755959610406012
