,0
0,0602934516253730
1,5185490823564905
2,6100859465871929
3,0627242913386197
4,5764959219543425
5,9786505264909374
6,9112304621970481
7,1652339643129712
8,8788146482053893
9,0034894070455412
10,1357061371579771
11,5539282358122586
12,6687810331223819
13,4158681002482304
14,4351190607357917
15,1924137485244907
16,3488369448766844
17,7924815022468819
18,9246879554920774
19,1907479250833033
20,9096422507543208
21,0036350961788246
22,9380496336565263
23,4621534549550979
24,7550371101484129
25,0441695020411504
26,5725047439189958
27,9648610149557340
28,5760658466899128
29,4902886245155081
30,7238063563586831
31,6885001509490830
32,1489528203687120
33,9928404342655513
34,9802635232762865
35,6758680388835078
36,4008495434236758
37,8598274096498065
38,4475521216411933
39,2560799768379831
40,1307617859068869
41,4055717099002218
42,1541601316808473
43,6870958743124961
44,0943711238845832
45,3944020856408245
46,5071350422821688
47,4248765154816650
48,9244132532446607
49,6099485027326689
50,9648531284712237
51,8321004413233815
52,5586679333125539
53,2291054769194665
54,6602190994535764
55,8737794326455608
56,2925678920762151
57,8246131317396176
58,7300207658471022
59,5534065920525009
60,5443002033733395
61,7024983341494297
62,1810614032141202
63,8806095256853243
64,4969850228167922
65,2842154181751816
66,2713375538068664
67,9084555099307288
68,9205104985319983
69,5048383145015647
70,7079506792953399
71,3201214049358628
72,1909531118646341
73,4378078337343660
74,6515097907583513
75,7215951323937810
76,4332049365505182
77,6663553463256293
78,6828140799795494
79,0904177542323793
80,2497419234600362
81,4750838304742762
82,0402406996297143
83,9543227391255854
84,0780601023335873
85,4904104664992611
86,6685620485747756
87,5817599117160198
88,6644721827442957
89,6380929054652063
90,4498255089432603
91,7181181691875740
92,4293442517002836
93,0853783751848766
94,1739719648554524
95,8886217002903392
96,8023294344647435
97,0658808096920254
98,9330950719388986
99,1569160339136032
