,0
0,4999509031047259
1,8193738163713646
2,9201712893785499
3,3491806982519658
4,1426399772341383
5,8833989058164529
6,9630287863419394
7,3034565226116594
8,5737596315826036
9,5811925902972756
10,9840915329396242
11,8681520193756072
12,9706698440837227
13,7607464709853156
14,0985484253315463
15,4993204839198672
16,0588804414769477
17,6627014131017403
18,6108730498633062
19,3934334115083849
20,6064277731903249
21,0440510152044011
22,8923844563320377
23,3590884268165249
24,6357563570334700
25,4232674785241580
26,4049958660392553
27,9636169555391079
28,7835009769826262
29,2266675048920917
30,4627360041573918
31,0876226598351927
32,3519456549500534
33,9002981704526120
34,9337611912907437
35,6895373188728113
36,8711030043086711
37,3356131637634546
38,2491891766759477
39,3395535465429876
40,2774467864626548
41,6233887751567079
42,5966513055840665
43,7180879644760038
44,3873580432710177
45,7375450894121297
46,1437430258647523
47,5809459915075654
48,2050116282937572
49,8540039840052671
50,7572366766177648
51,5598322661148873
52,1945428104771588
53,0542856843670457
54,3977760354511853
55,5337976093923686
56,9226217407880831
57,8769149706765157
58,5788186365234727
59,8763282681913864
60,7115389765450030
61,1170240266075175
62,0314009951286457
63,2457494097826106
64,1632921993169300
65,0960024575647258
66,9138028556380501
67,1856471030624999
68,2021830350525161
69,4280607371037073
70,5240677783760196
71,4566027531758636
72,5720775873259528
73,6527905152190729
74,6446047463034654
75,9281484833327774
76,2321059443128660
77,6470299686136609
78,9906894972452817
79,5987778390189807
80,3930103224694130
81,9872041193489007
82,5145855428221370
83,5153504967210091
84,8567960115058074
85,8207007315403264
86,5561942279332110
87,4038930548278283
88,7918207766379602
89,8818754232804062
90,2328030824765516
91,9151590034650501
92,8218059267505950
93,4781914919174065
94,0850165284804366
95,6775881207493500
96,2715233652071800
97,3209191515645982
98,3308960016106373
99,2516946694670146
