,0
0,6484546543106743
1,7457186791833218
2,3063286948462548
3,1551316349134426
4,8315862641929394
5,1352681664551083
6,0102364512482073
7,1576565798034743
8,8085939990750497
9,0113877782649597
10,2717555680999191
11,7331062615542814
12,4063718580685742
13,5083226972645003
14,1170651079171587
15,8496716957724133
16,4595099016205760
17,2985735807480873
18,9148354106985023
19,9641135148487155
20,3585073727110885
21,9271885452744905
22,9092587237114334
23,0943484644044150
24,0406606438474637
25,5818660661319963
26,4487123407292953
27,5252555113752200
28,7142823902123714
29,1750154267305530
30,5160665761520226
31,1796886641440781
32,8778713382135771
33,2465461893697741
34,9217754427341680
35,9021641426819416
36,1696467778255755
37,9445730779415218
38,7619359855870896
39,2158196443144675
40,9037349417947599
41,4943655471147347
42,9438438920135359
43,4892759542206876
44,1438691490740154
45,5479717772667720
46,3596503705480427
47,7355162785040506
48,6601374931447254
49,9612704468357790
50,6308173225779684
51,5231108948366370
52,1432728078910527
53,5689491238283383
54,4742321400577426
55,7195702087655314
56,0676101131499422
57,4629835197940139
58,1372015521117794
59,1308042794786872
60,4521038966994688
61,7538936412559010
62,1913003589198061
63,2213621728469564
64,8945586242502361
65,4507285261589525
66,3021059564342396
67,4592140991723664
68,3935055744673018
69,1152828531273019
70,6461505420218183
71,4033994493756291
72,2192738260572343
73,2259642295478225
74,0748342737698109
75,6773197286662518
76,9896747816468168
77,1667729512580997
78,6907261164017372
79,3548554171023581
80,1191928245616986
81,2244832585566406
82,3299711882893613
83,9787209999258590
84,5464365539060185
85,3491460911174983
86,4088204277600079
87,6744789031079665
88,4263622867321897
89,6940454346543706
90,5543562307373287
91,9785076666437938
92,4974948773862170
93,8049184468038869
94,9157872297410868
95,3498788836155706
96,8273173254016872
97,0525790556695433
98,7032301842334963
99,9155295594995876
