,0
0,8433898945280058
1,2382469130424035
2,2146827739602504
3,7357691451348243
4,5374456076284948
5,7496571533341165
6,2282052097434172
7,1493954146571906
8,7303300747184265
9,9162508978945887
10,9454672552048719
11,2522219947489545
12,1405100203133067
13,6248532093883975
14,0492925975883915
15,0301569503177054
16,3956188623681224
17,1824675277001228
18,0576885615997048
19,9104198360189577
20,4699487696643159
21,5427009080645055
22,7781662528229225
23,9391282233857282
24,8543703316798123
25,4743615737872637
26,9669532724764871
27,6830890364021965
28,1929867739425527
29,9909740978358301
30,7427854657719431
31,5141863886391447
32,3638287209428196
33,9181118757331104
34,6052239712915301
35,0760818648569187
36,2869491387764118
37,3176139653120353
38,2032000100824080
39,5424233496844358
40,6305244914209829
41,4503603092517892
42,4888317387600937
43,9042913485432336
44,3903766210023732
45,1034196158589581
46,6781917172449882
47,4149123113283026
48,9237063119472163
49,3648837062025444
50,9851642920435372
51,5819323311293998
52,1823087211386277
53,4203796463405720
54,1832005293007635
55,1166263446681116
56,2217556709443591
57,9888931686117078
58,0155241294937880
59,2842541842617923
60,1592783766193850
61,5043080196932200
62,6531889931012965
63,9492725982095751
64,5662346788901115
65,9613980184982976
66,4460827622247417
67,7224855414322463
68,6187221670775160
69,2112374695114747
70,2089135273264758
71,9055052467152337
72,8867390850809735
73,3426116122713706
74,4590754580936308
75,9102480955435391
76,9624642322598710
77,2274641043148266
78,9230379077271296
79,7762134965139023
80,6120421680422459
81,1015684335679217
82,4074898371818323
83,0930029261355652
84,5494800835674977
85,2497294331547686
86,6338514580120246
87,7459851068586682
88,3475085618680340
89,2110127065416697
90,6495240035306074
91,3559231645451434
92,2274011017142031
93,0771724992908427
94,0610853022324361
95,9867636928092492
96,9794813977231934
97,1428637808064409
98,7159637189296890
