,0
0,3091742095568302
1,8169240855049337
2,4506693662190287
3,8379358682656422
4,3511534795805776
5,1240066145518940
6,2192738260572343
7,3498788836155706
8,4892759542206876
9,8521588947381085
10,8543846691991670
11,2392406298045396
12,2279792280361552
13,9337611912907437
14,3555799356851041
15,6152329000274858
16,8207007315403264
17,2497419234600362
18,1704285823923729
19,2272000258230548
20,0960024575647258
21,6100859465871929
22,8382158780043575
23,9674541381385819
24,0555523196295968
25,3197093513022771
26,8269423647045727
27,9438438920135359
28,5127472125418977
29,2974805638656106
30,0470538503135332
31,3299711882893613
32,4862166496983255
33,9612704468357790
34,9641135148487155
35,1806988202605434
36,8598274096498065
37,3557992461593136
38,9802635232762865
39,1324291141781772
40,6669992155373315
41,2138654072839905
42,6146781658944580
43,4325989861878031
44,4178844355922772
45,6505487564442125
46,7831378362627809
47,9321075005010548
48,2962183322412029
49,8546635518344761
50,4447887460691840
51,6998360791945569
52,2941335797138677
53,7533729699758819
54,8022297490892415
55,8121082379157248
56,1479357603158076
57,8886217002903392
58,0406606438474637
59,7824954032846499
60,9823041159237981
61,9021641426819416
62,2074959434257100
63,4621534549550979
64,1020477751003832
65,9155295594995876
66,5719116057125057
67,8023294344647435
68,1909531118646341
69,2938484089252716
70,4834272403601390
71,8289325716140743
72,8621258845956348
73,0627242913386197
74,4220071266183271
75,7297737442136792
76,5263574197578953
77,7548286300603675
78,5969636750048659
79,9139899895580513
80,9962204158580009
81,2346700109498656
82,5746097026160276
83,9974684005171829
84,5131656525467473
85,7475702806540146
86,0067772895372542
87,7428211630259183
88,8423282472108016
89,7572366766177648
90,2422367019348502
91,7275608974248322
92,8972540207861201
93,3942578011658070
94,2869737621338203
95,5936453117958596
96,5653459744288495
97,7936305470585824
98,0169869120306742
99,5774617500941295
