,0
0,1020078557729775
1,1645859648759641
2,2422367019348502
3,4662273973783290
4,6786064255704972
5,2391150803081508
6,0995074904257272
7,4724644479889950
8,1595358007418855
9,6098493050474490
10,3174379270045864
11,6469642481998660
12,7269081571624734
13,8555278845050226
14,8415377033264469
15,5384555860195426
16,4194801952934254
17,8276650236213537
18,4244941712717032
19,1805029396938951
20,7930553282818807
21,7533729699758819
22,0391036221142471
23,5427258537765956
24,7445254960858159
25,5223057662929273
26,3940543577818673
27,7302904386484949
28,0747749432875537
29,8948444880792780
