,0
0,4428785157940057
1,5219013163859829
2,7909537302983812
3,0416966816426212
4,6669992155373315
5,2703716951709834
6,0172837599844991
7,1552797252054251
8,7796654028353519
9,0710138621945711
10,1083882171718362
11,9823041159237981
12,0261885352003041
13,7329430744325373
14,4109776574669445
15,9325091115265469
16,2767494720646648
17,8725809744497200
18,2177942722419294
19,1614872930046854
20,6078476427954319
21,8614883884181446
22,5774617500941295
23,1045670347248177
24,9757708390518979
25,7947892876750506
26,1559316327227821
27,4670067763870548
28,9198426685541534
29,6161765114295408
30,5436929276473133
31,9794987194529294
32,8289325716140743
33,9674541381385819
34,2789652468369638
35,4714777431340503
36,9571481236686866
37,4108663280979993
38,7749285591179880
39,7109489698613515
40,5089072868644414
41,2962183322412029
42,6443038320654989
43,3006383510997981
44,7428211630259183
45,1543544998729361
46,3762606653182779
47,3952163015625103
48,5771945462651086
49,7031182853583219
50,3957046121364560
51,9728054402919622
52,1625799595721574
53,3818957885297532
54,1969687480215585
55,6055293234902956
56,3554447149096438
57,7475702806540146
58,8666548473150908
59,6050302316049061
60,5551726567869235
61,0701679734111287
62,1871521544483113
63,9859737944357808
64,0818383116633579
65,9072332484355315
66,3555799356851041
67,4150193798058154
68,1512994126787334
69,6440727019240185
70,9755128186799177
71,1325247019367288
72,8374950313063279
73,5080819854251237
74,9139899895580513
75,0866807094701251
76,8546635518344761
77,7275608974248322
78,0704678157445792
79,0425133153453333
80,8674398558384129
81,4612177644565039
82,5014918663341911
83,9718399842317946
84,6871556145533245
85,8931093916252127
86,5780812270441322
87,7369376873984839
88,5179258519479693
89,7171052616253604
90,3808560029763904
91,1055555496835379
92,5379515759830546
93,3724041772362280
94,5719116057125057
95,1435259707895948
96,0564778663100780
97,7355743129213406
98,6568615406054840
99,5396850632263675
