,0
0,1800482670266921
1,9534019126486839
2,3228132238224370
3,0910765178697312
4,6146781658944580
5,0169869120306742
6,6841118121493906
7,4449947783474945
8,8899367535416723
9,5590258147022413
10,7129326141525190
11,3847685914783573
12,5954461350700731
13,2838058088397269
14,4514517594315817
15,6479420970768737
16,9497366266156796
17,1854609924621164
18,2793740911505627
19,7398754661670478
20,9985584992275325
21,4938720890035457
22,4692980070480625
23,5847787136001573
24,4220071266183271
25,1806988202605434
26,3190630564956043
27,6328263723211152
28,7902862900757037
29,7040007133045509
30,6760789832926234
31,1547796890753678
32,5457197162245079
33,7281739070942782
34,5436482713562659
35,4087752487104746
36,8449916971915629
37,7202319892868540
38,1036046601275319
39,4368137398542993
40,2074959434257100
41,0233728865094243
42,7585947992338412
43,2869737621338203
44,9474380466558340
45,3187159193534447
46,5263574197578953
47,7208304079043555
48,6736575837409659
49,6560372925252581
50,4665308843785788
51,7239767187507584
52,3600215645187879
53,1093242836059112
54,0203667980247686
55,9538405812117662
56,6917479410354653
57,3964807651730603
58,0297419882161114
59,2812138285118897
60,4065779842533056
61,3025971449622712
62,4602221579308599
63,6510312571379213
64,8670893946594677
65,6505487564442125
66,2719300158070968
67,3784957422020764
68,4320367144812616
69,9624864332158474
70,3138999292930429
71,6687042807200684
72,3729715298008025
73,7454508605039228
74,2842419319556542
75,7340081273816424
76,6383295558289621
77,2535324018884724
78,7493008178841307
79,4834272403601390
80,1209382022297634
81,5898801580033554
82,9999274930956418
83,2960155071929174
84,3276524120558309
85,0685340886402006
86,8073126093266658
87,8989199088323836
88,1077091269921532
89,8359645467844836
90,6158488812359628
91,3314639624288740
92,5921185698230768
93,6507826653693228
94,0432617620213212
95,8951221071397719
96,5206955158181774
97,9364148865735922
98,0894690311392249
99,0176303452883262
