,0
0,7666576260448993
1,8176296755861524
2,3554721183676963
3,9875100117374731
4,0201883600417969
5,8351965334605857
6,3462216438517585
7,9990001891911588
8,6653223814715498
9,3941384182506697
10,5584298681870865
11,5760422122697584
12,6103523487830536
13,3410067114297676
14,3841728866904262
15,5029704662813380
16,4491496654253354
17,6478091924064864
18,3454306274286651
19,1029892667445223
20,8539946335852637
21,6258906373771462
22,2379217359202523
23,0706356412303657
24,7363908432737523
25,6269743468643923
26,1023521805589135
27,5832250655889116
28,0845421586641237
29,3532765293459410
